"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"genfock::HIP_GPU::GPU_kernel_1_0_0_0(double, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, unsigned int, double const*, double*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, double) [clone .kd]",487,309534404,635594,25.73567183157005
"genfock::HIP_GPU::GPU_kernel_0_0_0_0(double, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, unsigned int, double const*, double*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, double) [clone .kd]",215,189475650,881282,15.753606337321473
"genfock::HIP_GPU::GPU_kernel_1_1_1_1(double, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, unsigned int, double const*, double*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, double) [clone .kd]",147,138603844,942883,11.52396308029827
"genfock::HIP_GPU::GPU_kernel_1_1_0_0(double, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, unsigned int, double const*, double*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, double) [clone .kd]",415,119319887,287517,9.920633749042064
"genfock::HIP_GPU::GPU_kernel_1_0_1_0(double, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, unsigned int, double const*, double*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, double) [clone .kd]",215,108970930,506841,9.060188649210675
"genfock::HIP_GPU::GPU_kernel_1_1_1_0(double, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, unsigned int, double const*, double*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, double) [clone .kd]",404,96627728,239177,8.033935696654297
"genfock::HIP_GPU::GPU_kernel_0_0_0_0_equal(unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, unsigned int, double const*, double*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int) [clone .kd]",57,51648743,906118,4.294240262743461
"genfock::HIP_GPU::GPU_kernel_1_0_1_0_equal(unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, unsigned int, double const*, double*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int) [clone .kd]",57,33156123,581686,2.7567051988675604
"genfock::HIP_GPU::nuc_attr_GPU_kernel_1_1(unsigned int const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, unsigned int, double const*, double const*, double const*, unsigned int const*, unsigned int const*, unsigned int, unsigned int, double*) [clone .kd]",8,20286361,2535795,1.6866723782754733
"genfock::HIP_GPU::nuc_attr_GPU_kernel_1_0(unsigned int const*, double const*, double const*, double const*, double const*, double const*, double const*, unsigned int, double const*, double const*, double const*, unsigned int const*, unsigned int const*, unsigned int, unsigned int, double*) [clone .kd]",9,19439164,2159907,1.6162337333722379
"genfock::HIP_GPU::GPU_kernel_1_1_1_1_equal(unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, unsigned int, double const*, double*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int) [clone .kd]",42,16043657,381991,1.3339205147944446
"genfock::HIP_GPU::nuc_attr_GPU_kernel_0_0(unsigned int const*, double const*, double const*, double const*, double const*, double const*, double const*, unsigned int, double const*, double const*, double const*, unsigned int const*, unsigned int const*, unsigned int, unsigned int, double*) [clone .kd]",10,15605092,1560509,1.2974568300765013
"Cijk_Alik_Bljk_DB_MT64x16x16_MI16x16x4x1_SN_1LDSB0_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS3_ASAE01_ASCE01_ASEM1_AAC0_BL1_DTL0_DVO0_EPS0_FL0_GRVW2_GSU1_GSUASB_GLS1_ISA90a_IU1_K1_KLA_LBSPP0_LPA0_LPB0_LDL1_LRVW1_MAC_MIAV0_MDA2_NEPBS0_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR2_PLR5_RK0_SIA3_SS1_SU32_SUM0_SUS128_SPO1_SRVW0_SSO6_SVW2_SNLL0_TT2_16_TLDS0_USFGROn1_VAW1_VSn1_VW2_WSGRA0_WSGRB0_WS64_WG32_4_1_WGM5.kd",287,14544784,50678,1.209299460893112
"Cijk_Ailk_Bljk_DB_MT128x64x8_MI16x16x4x1_SN_1LDSB0_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS3_ASAE01_ASCE01_ASEM1_AAC0_BL1_DTL0_DVO0_EPS0_FL0_GRVW2_GSU1_GSUAMB_GLS1_ISA90a_IU1_K1_KLA_LBSPP0_LPA0_LPB0_LDL1_LRVW1_MAC_MIAV0_MDA2_NEPBS4_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR2_PLR3_RK0_SIA3_SS1_SU0_SUM0_SUS0_SPO1_SRVW0_SSO6_SVW2_SNLL0_TT4_32_TLDS0_USFGROn1_VAW1_VSn1_VW2_WSGRA0_WSGRB0_WS64_WG32_8_1_WGM5.kd",91,13229108,145374,1.0999099864595276
"void rocblas_dot_kernel_inc1<false, 512, 2, false, double, double const*, double>(int, double const*, long, long, double const*, long, int, double*, double*) [clone .kd]",590,10698069,18132,0.8894713784884887
"dlansy_max_kernel_lower(int, double const*, int, double*) [clone .kd]",16,7065273,441579,0.587429200046055
"void copy_kernel<false, double const*, double*>(int, double const*, long, int, long, double*, long, int, long) [clone .kd]",102,5165591,50643,0.4294836149848847
"__amd_rocclr_fillBufferAligned.kd",733,3924786,5354,0.32631915289500574
"Cijk_Ailk_Bjlk_DB_MT64x32x8_MI16x16x4x1_SN_1LDSB1_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS3_ASAE01_ASCE01_ASEM1_AAC0_BL1_DTL0_DVO0_EPS0_FL0_GRVW1_GSU1_GSUAMB_GLS1_ISA90a_IU2_K1_KLA_LBSPP0_LPA0_LPB0_LDL1_LRVW1_MAC_MIAV0_MDA2_NEPBS1_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR2_PLR1_RK0_SIA3_SS1_SU0_SUM0_SUS0_SPO1_SRVW0_SSO6_SVW2_SNLL0_TT2_16_TLDS0_USFGROn1_VAW1_VSn1_VW2_WSGRA0_WSGRB0_WS64_WG32_8_1_WGM11.kd",208,3811676,18325,0.31691482884168054
"void trmm_template_rTx_kernel<double, 32, 0>(magma_uplo_t, magma_diag_t, int, int, double, double*, int, double*, int) [clone .kd]",528,3394878,6429,0.2822609215233369
"void rocblas_dot_kernel_reduce<512, 2, double, double>(int, double*, double*) [clone .kd]",682,2683518,3934,0.2231161955170295
"Cijk_Ailk_Bjlk_DB_MT64x32x8_MI16x16x4x1_SN_1LDSB1_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS3_ASAE01_ASCE01_ASEM1_AAC0_BL1_DTL0_DVO0_EPS0_FL0_GRVW1_GSU1_GSUAMB_GLS1_ISA90a_IU2_K1_KLA_LBSPP0_LPA0_LPB0_LDL1_LRVW1_MAC_MIAV0_MDA2_NEPBS1_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR2_PLR1_RK0_SIA3_SS1_SU32_SUM0_SUS256_SPO1_SRVW0_SSO6_SVW2_SNLL0_TT2_16_TLDS0_USFGROn1_VAW1_VSn1_VW2_WSGRA0_WSGRB0_WS64_WG32_8_1_WGM5.kd",256,2599357,10153,0.21611878311625232
"void axpy_kernel<256, double, double const*, double const*, double*>(int, double const*, long, double const*, long, int, long, double*, long, int, long) [clone .kd]",92,2405758,26149,0.20002234838546185
"__amd_rocclr_copyBuffer.kd",667,2000639,2999,0.1663394701593186
"GPU_Corr_F(double*, unsigned int*, unsigned int, unsigned int) [clone .kd]",15,1784957,118997,0.148406984786944
"GPU_Corr_D(double*, unsigned int*, unsigned int, unsigned int) [clone .kd]",15,1766079,117738,0.1468374080078911
"Cijk_Ailk_Bjlk_DB_MT128x96x16_MI16x16x4x1_SN_1LDSB1_APM1_ABV0_ACED0_AF0EM2_AF1EM1_AMAS3_ASAE01_ASCE01_ASEM1_AAC0_BL1_DTL0_DVO0_EPS0_FL0_GRVW2_GSU1_GSUASB_GLS1_ISA90a_IU1_K1_KLA_LBSPP0_LPA0_LPB0_LDL1_LRVW1_MAC_MIAV1_MDA2_NEPBS2_NLCA1_NLCB3_ONLL1_OPLV0_PK0_PAP0_PGR2_PLR5_RK0_SIA3_SS1_SU0_SUM0_SUS0_SPO1_SRVW0_SSO4_SVW2_SNLL0_TT2_96_TLDS0_USFGROn1_VAW1_VSn1_VW2_WSGRA0_WSGRB0_WS64_WG64_4_1_WGM4.kd",15,1482720,98848,0.12327804226280947
"Cijk_Ailk_Bljk_DB_MT64x64x8_MI16x16x4x1_SN_1LDSB0_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS3_ASAE01_ASCE01_ASEM1_AAC0_BL1_DTL0_DVO0_EPS0_FL0_GRVW2_GSU1_GSUAMB_GLS1_ISA90a_IU1_K1_KLA_LBSPP0_LPA0_LPB0_LDL1_LRVW1_MAC_MIAV0_MDA2_NEPBS4_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR2_PLR3_RK0_SIA3_SS1_SU0_SUM0_SUS0_SPO1_SRVW0_SSO6_SVW2_SNLL0_TT2_32_TLDS0_USFGROn1_VAW1_VSn1_VW2_WSGRA0_WSGRB0_WS64_WG32_8_1_WGM5.kd",32,1330239,41569,0.11060028843047737
"void rocblas_dot_kernel_magsq<false, 512, 2, false, double, double const*, double>(int, double const*, long, int, long, double*, double*) [clone .kd]",92,1213118,13186,0.10086247711892664
"Cijk_Ailk_Bjlk_DB_MT64x32x8_MI16x16x4x1_SN_1LDSB1_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS3_ASAE01_ASCE01_ASEM1_AAC0_BL1_DTL0_DVO0_EPS0_FL0_GRVW2_GSU1_GSUAMB_GLS1_ISA90a_IU2_K1_KLA_LBSPP0_LPA0_LPB0_LDL1_LRVW1_MAC_MIAV0_MDA2_NEPBS1_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR2_PLR1_RK0_SIA3_SS1_SU32_SUM0_SUS128_SPO1_SRVW0_SSO6_SVW2_SNLL0_TT2_16_TLDS0_USFGROn1_VAW1_VSn1_VW2_WSGRA0_WSGRB0_WS64_WG32_8_1_WGM5.kd",32,907360,28355,0.07544078749027652
"void axpy_kernel<256, double, double, double const*, double*>(int, double, long, double const*, long, int, long, double*, long, int, long) [clone .kd]",30,784160,26138,0.06519754884321023
"void rocblas_scal_kernel<double, double, double*>(int, double, long, double*, long, int, long) [clone .kd]",30,474879,15829,0.039482945823702854
"genfock::HIP_GPU::kin_ov_GPU_kernel_1_1(unsigned int const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, unsigned int const*, unsigned int const*, unsigned int, unsigned int, double*, double*) [clone .kd]",8,444319,55539,0.036942090522937066
"__amd_rocclr_copyBufferRectAligned.kd",16,376479,23529,0.031301657813383676
"dlaset_band_upper(int, int, double, double, double*, int) [clone .kd]",16,333119,20819,0.0276965699259097
"Cijk_Ailk_Bjlk_DB_MT64x32x8_MI16x16x4x1_SN_1LDSB1_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS3_ASAE01_ASCE01_ASEM1_AAC0_BL1_DTL0_DVO0_EPS0_FL0_GRVW2_GSU1_GSUAMB_GLS1_ISA90a_IU2_K1_KLA_LBSPP0_LPA0_LPB0_LDL1_LRVW1_MAC_MIAV0_MDA2_NEPBS1_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR2_PLR1_RK0_SIA3_SS1_SU0_SUM0_SUS0_SPO1_SRVW0_SSO6_SVW2_SNLL0_TT2_16_TLDS0_USFGROn1_VAW1_VSn1_VW2_WSGRA0_WSGRB0_WS64_WG32_8_1_WGM11.kd",16,240000,15000,0.019954361000778485
"Cijk_Ailk_Bjlk_DB_MT64x32x8_MI16x16x4x1_SN_1LDSB1_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS3_ASAE01_ASCE01_ASEM1_AAC0_BL1_DTL0_DVO0_EPS0_FL0_GRVW1_GSU1_GSUAMB_GLS1_ISA90a_IU2_K1_KLA_LBSPP0_LPA0_LPB0_LDL1_LRVW1_MAC_MIAV0_MDA2_NEPBS1_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR2_PLR1_RK0_SIA3_SS1_SU32_SUM0_SUS128_SPO1_SRVW0_SSO6_SVW2_SNLL0_TT2_16_TLDS0_USFGROn1_VAW1_VSn1_VW2_WSGRA0_WSGRB0_WS64_WG32_8_1_WGM5.kd",16,237438,14839,0.019741348197095172
"genfock::HIP_GPU::kin_ov_GPU_kernel_0_0(unsigned int const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, unsigned int const*, unsigned int const*, unsigned int, unsigned int, double*, double*) [clone .kd]",10,164480,16448,0.013675388739200187
"genfock::HIP_GPU::kin_ov_GPU_kernel_1_0(unsigned int const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, unsigned int const*, unsigned int const*, unsigned int, unsigned int, double*, double*) [clone .kd]",9,154080,17120,0.012810699762499787
"Cijk_Ailk_Bjlk_DB_MT128x128x8_MI16x16x4x1_SN_1LDSB1_APM1_ABV0_ACED0_AF0EM2_AF1EM1_AMAS0_ASAE01_ASCE01_ASEM1_AAC0_BL1_DTL0_DVO0_EPS0_FL0_GRVW1_GSU1_GSUASB_GLS1_ISA90a_IU1_K1_KLA_LBSPP0_LPA0_LPB0_LDL1_LRVW1_MAC_MIAV1_MDA2_NEPBS1_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR2_PLR3_RK0_SIA3_SS1_SU0_SUM0_SUS0_SPO1_SRVW0_SSO8_SVW1_SNLL0_TT4_64_TLDS0_USFGROn1_VAW1_VSn1_VW1_WSGRA0_WSGRB0_WS64_WG32_8_1_WGM5.kd",1,150399,150399,0.012504649750650347
"GPU_Corr_Hcore_gl(double*, unsigned int*, unsigned int, unsigned int) [clone .kd]",1,123840,123840,0.010296450276401697
"GPU_Corr_S_gl(double*, unsigned int*, unsigned int, unsigned int) [clone .kd]",1,113598,113598,0.009444897920693475
"void gemvn_kernel<64, 16, int, double, double, double, double>(int, int, double, long, double const*, long, int, long, double const*, long, int, long, double, long, double*, long, int, long) [clone .kd]",15,113439,7562,0.00943167815653046
"init_kernel() [clone .kd]",110,106560,968,0.008859736284345646
"void gemvt_kernel<false, 256, int, double, double, double, double>(int, int, double, long, double const*, long, int, long, double const*, long, int, long, double, long, double*, long, int, long) [clone .kd]",15,101920,6794,0.008473951971663929
"void magma_max_nan_kernel<double>(int, double*) [clone .kd]",16,73120,4570,0.0060794286515705115
"SIGMAm1_times_vec(double*, double*, double*, int) [clone .kd]",15,33280,2218,0.002767004725441283
